from,to,weight
Vettel,Gasly,8
Vettel,Hartley,4
Gasly,Grosjean,12
Hamilton,Gasly,5
Hamilton,Vandoorne,2
Hamilton,Hartley,1
Hamilton,Stroll,1
Ricciardo,Hartley,4
Ricciardo,Gasly,12
Sainz,Gasly,10
Gasly,Stroll,12
Grosjean,Stroll,7
Magnussen,Hartley,3
Wehrlein,Magnussen,1
Leclerc,Stroll,13
Leclerc,Grosjean,9
Grosjean,Leclerc,5
Magnussen,Gasly,4
Gasly,Magnussen,14
Perez,Sirotkin,11
Magnussen,Leclerc,1
Magnussen,Sirotkin,3
Hulkenberg,Sirotkin,4
Hulkenberg,Leclerc,4
Alonso,Leclerc,5
Alonso,Sirotkin,8
Ocon,Perez,2
Vandoorne,Leclerc,3
Ocon,Leclerc,4
Vandoorne,Sirotkin,5
Ocon,Sirotkin,11
Perez,Leclerc,11
Sainz,Leclerc,8
Sainz,Sirotkin,9
Grosjean,Sirotkin,10
Leclerc,Sirotkin,3
Hartley,Stroll,5
Ericsson,Leclerc,2
Hartley,Leclerc,2
Leclerc,Hartley,6
Gasly,Hartley,4
Ocon,Gasly,6
Perez,Gasly,10
Stroll,Gasly,3
Grosjean,Hartley,5
Gasly,Hulkenberg,5
Stroll,Hulkenberg,2
Perez,Hartley,3
Leclerc,Gasly,11
Alonso,Hartley,4
Hulkenberg,Verstappen,1
Alonso,Gasly,3
Ericsson,Hartley,3
Raikkonen,Stroll,2
Raikkonen,Leclerc,4
Leclerc,Alonso,4
Leclerc,Sainz,4
Vandoorne,Gasly,4
Hartley,Gasly,3
Ericsson,Gasly,5
Sirotkin,Hartley,1
Verstappen,Stroll,4
Verstappen,Leclerc,8
Gasly,Perez,6
Gasly,Sirotkin,7
Vettel,Sirotkin,6
Bottas,Sirotkin,2
Bottas,Hartley,2
Vettel,Leclerc,10
Bottas,Leclerc,8
Sainz,Hartley,6
Vandoorne,Alonso,3
Ericsson,Sirotkin,8
Hartley,Sirotkin,5
Sirotkin,Ericsson,4
Leclerc,Ericsson,2
Hamilton,Sirotkin,1
Hamilton,Leclerc,7
Magnussen,Alonso,2
Stroll,Sirotkin,2
Ricciardo,Sirotkin,3
Gasly,Vandoorne,3
Ricciardo,Leclerc,8
Leclerc,Vandoorne,3
Stroll,Leclerc,4
Sirotkin,Leclerc,1
Gasly,Leclerc,7
Bottas,Gasly,2
Sirotkin,Vandoorne,2
Leclerc,Magnussen,11
Hartley,Alonso,1
Leclerc,Hulkenberg,5
Ocon,Hulkenberg,1
Hulkenberg,Hartley,1
Leclerc,Ocon,2
Gasly,Ocon,3
Ocon,Hartley,3
Sirotkin,Magnussen,1
Leclerc,Perez,6
Sirotkin,Alonso,1
Ocon,Verstappen,2
Gasly,Giovinazzi,6
Ricciardo,Kubica,5
Perez,Russell,6
Magnussen,Giovinazzi,4
Hulkenberg,Giovinazzi,6
Raikkonen,Giovinazzi,11
Norris,Giovinazzi,6
Grosjean,Giovinazzi,5
Perez,Albon,6
Perez,Giovinazzi,9
Kvyat,Gasly,6
Leclerc,Bottas,2
Norris,Albon,5
Kvyat,Giovinazzi,12
Russell,Kubica,11
Kubica,Russell,4
Leclerc,Vettel,4
Magnussen,Raikkonen,4
Norris,Gasly,6
Norris,Magnussen,5
Raikkonen,Russell,15
Gasly,Albon,8
Albon,Gasly,10
Norris,Russell,11
Verstappen,Giovinazzi,3
Norris,Perez,6
Leclerc,Ricciardo,5
Kvyat,Kubica,10
Albon,Magnussen,16
Norris,Raikkonen,5
Sainz,Kubica,7
Giovinazzi,Magnussen,12
Albon,Kvyat,7
Albon,Raikkonen,6
Raikkonen,Albon,4
Stroll,Russell,9
Albon,Giovinazzi,13
Vettel,Norris,5
Norris,Ricciardo,7
Sainz,Russell,3
Gasly,Ricciardo,7
Kvyat,Russell,11
Albon,Kubica,5
Albon,Russell,10
Grosjean,Kubica,8
Magnussen,Kubica,7
Giovinazzi,Kubica,6
Grosjean,Russell,7
Magnussen,Russell,11
Giovinazzi,Russell,12
Gasly,Raikkonen,11
Stroll,Giovinazzi,7
Stroll,Magnussen,14
Kvyat,Norris,3
Norris,Kubica,4
Sainz,Giovinazzi,3
Stroll,Ricciardo,7
Gasly,Russell,7
Leclerc,Kvyat,4
Leclerc,Norris,6
Sainz,Norris,4
Leclerc,Verstappen,7
Grosjean,Albon,1
Giovinazzi,Hulkenberg,2
Norris,Grosjean,9
Ricciardo,Russell,6
Hulkenberg,Russell,4
Stroll,Raikkonen,5
Giovinazzi,Grosjean,10
Albon,Grosjean,10
Albon,Hulkenberg,6
Hulkenberg,Norris,3
Vettel,Albon,6
Magnussen,Norris,1
Verstappen,Norris,6
Stroll,Perez,1
Ricciardo,Giovinazzi,9
Norris,Kvyat,5
Giovinazzi,Albon,3
Kvyat,Albon,4
Russell,Kvyat,1
Magnussen,Albon,2
Gasly,Vettel,7
Ricciardo,Norris,4
Stroll,Kubica,7
Ricciardo,Albon,1
Hulkenberg,Albon,2
Giovinazzi,Ricciardo,2
Raikkonen,Norris,2
Vettel,Russell,7
Albon,Norris,10
Albon,Stroll,6
Gasly,Kubica,5
Gasly,Kvyat,4
Hamilton,Albon,5
Albon,Hamilton,3
Sainz,Albon,5
Vettel,Giovinazzi,5
Verstappen,Russell,3
Hamilton,Russell,2
Bottas,Kubica,1
Bottas,Giovinazzi,4
Bottas,Russell,4
Bottas,Albon,2
Bottas,Norris,2
Albon,Perez,8
Albon,Ricciardo,7
Giovinazzi,Gasly,2
Albon,Sainz,7
Perez,Kubica,2
Verstappen,Kubica,2
Verstappen,Gasly,4
Leclerc,Giovinazzi,6
Hamilton,Giovinazzi,1
Giovinazzi,Kvyat,3
Giovinazzi,Raikkonen,2
Kubica,Magnussen,1
Perez,Norris,6
Leclerc,Kubica,1
Leclerc,Russell,3
Leclerc,Raikkonen,6
Gasly,Norris,3
Stroll,Norris,3
Kubica,Sainz,1
Gasly,Sainz,2
Norris,Hulkenberg,1
Norris,Sainz,1
Albon,Vettel,7
Giovinazzi,Stroll,1
Hamilton,Norris,1
Ocon,Giovinazzi,3
Giovinazzi,Latifi,2
Giovinazzi,Vettel,1
Albon,Latifi,5
Grosjean,Latifi,2
Raikkonen,Latifi,8
Russell,Latifi,3
Gasly,Latifi,2
Norris,Stroll,3
Ocon,Russell,3
Ocon,Norris,1
Ocon,Hamilton,1
Albon,Leclerc,4
Russell,Ocon,2
Norris,Ocon,1
Ocon,Vettel,3
Russell,Raikkonen,6
Latifi,Raikkonen,3
Sainz,Latifi,2
Vettel,Latifi,6
Latifi,Magnussen,8
Albon,Ocon,3
Russell,Grosjean,3
Kvyat,Latifi,2
Stroll,Vettel,2
Sainz,Vettel,2
Russell,Magnussen,4
Norris,Leclerc,2
Kvyat,Leclerc,2
Perez,Latifi,5
Ocon,Albon,3
Stroll,Verstappen,1
Norris,Latifi,3
Bottas,Latifi,2
Russell,Perez,1
Hamilton,Latifi,1
Russell,Norris,2
Russell,Vettel,2
Hulkenberg,Latifi,1
Stroll,Albon,1
Latifi,Vettel,1
Magnussen,Latifi,3
Russell,Giovinazzi,4
Ocon,Latifi,2
Russell,Bottas,2
Russell,Gasly,2
Leclerc,Albon,1
Gasly,Bottas,1
Verstappen,Albon,1
Ricciardo,Latifi,1
Norris,Bottas,1
Ocon,Ricciardo,1
Perez,Fittipaldi,2
Norris,Vettel,1
Perez,Aitken,1
Raikkonen,Fittipaldi,1
Raikkonen,Aitken,1
Aitken,Raikkonen,1
Norris,Fittipaldi,1
Norris,Aitken,1
Russell,Stroll,1
Albon,Bottas,1
Aitken,Fittipaldi,1
Leclerc,Fittipaldi,1
Leclerc,Latifi,1
Fittipaldi,Magnussen,1
Giovinazzi,Fittipaldi,1
